Period,Involvement,Projects,New_Jobs
2007-08,All,1573,45051
2008-09,All,1744,35111
2009-10,All,1619,53358
2010-11,All,1434,41936
2011-12,All,1406,52741
2012-13,All,1559,59153
2013-14,All,1773,66390
2014-15,All,1988,84603
2015-16,All,2213,82650
2016-17,All,2265,75226
2017-18,All,2072,75968
2018-19,All,1782,57625
2012-13,Involved only,1322,z
2013-14,Involved only,1462,z
2014-15,Involved only,1610,z
2015-16,Involved only,1731,z
2016-17,Involved only,1859,63892
2017-18,Involved only,1682,67060
2018-19,Involved only,1436,51863
