ISO3,ISO2,name,meantemp,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
AFG,AF,Afghanistan,13.1275,282.958,290.06,297.081,304.005,310.817,317.5,325.571,335.122,346.264,359.13,373.876,390.588,409.468,430.748,454.698,481.627,511.098,543.373,578.749,617.559,660.175,705.982,755.232,808.199,865.178,926.489,991.899,1061.66,1136.038,1215.312,1299.777,1389.265,1484.003,1584.223,1690.159,1802.053,1919.691,2043.23,2172.819,2308.597,2450.695,2598.992,2753.552,2914.421,3081.626,3255.175,3434.878,3620.669,3812.455,4010.118,4213.51,4422.589,4637.166,4857.025,5081.917,5311.562,5546.203,5785.567,6029.356,6277.241,6528.861,6784.601,7044.131,7307.098,7573.121,7841.794,8113.046,8386.457,8661.583,8937.958,9215.093,9493.216,9771.862,10050.55,10328.778,10606.029,10882.727,11158.397,11432.553,11704.698,11974.321,12241.311,12505.167,12765.38,13021.435,13272.815,13524.757,13777.059,14029.511,14281.896
AGO,AO,Angola,22.0548,1560.83,1603.048,1650.009,1702.049,1759.546,1822.926,1881.676,1935.18,1982.857,2024.177,2058.664,2093.789,2129.561,2165.987,2203.076,2240.836,2278.884,2317.208,2355.795,2394.633,2433.706,2474.646,2517.519,2562.395,2609.349,2658.458,2711.16,2767.624,2828.031,2892.577,2961.476,3034.59,3112.141,3194.365,3281.517,3373.871,3469.359,3568.09,3670.181,3775.751,3884.922,3995.74,4108.158,4222.125,4337.585,4454.48,4570.92,4686.694,4801.586,4915.378,5027.844,5137.453,5243.889,5346.844,5446.008,5541.081,5631.447,5716.802,5796.856,5871.332,5939.967,6002.549,6058.85,6108.661,6151.791,6188.073,6217.608,6240.276,6255.98,6264.645,6266.22,6261.192,6249.556,6231.329,6206.548,6175.27,6137.947,6094.668,6045.545,5990.705,5930.291,5864.547,5793.645,5717.772,5637.129,5551.928,5464.681,5375.513,5284.548,5191.914
ALB,AL,Albania,13.419,2119.348,2158.593,2201.943,2249.603,2301.801,2358.793,2421.267,2489.566,2564.074,2645.215,2733.458,2828.426,2930.6,3040.502,3158.707,3285.842,3419.242,3559.244,3706.202,3860.491,4022.51,4188.446,4358.214,4531.717,4708.841,4889.461,5072.781,5258.576,5446.599,5636.59,5828.272,6020.804,6213.823,6406.952,6599.797,6791.955,6985.247,7179.434,7374.265,7569.479,7764.805,7961.268,8158.678,8356.837,8555.537,8754.565,8953.892,9153.303,9352.576,9551.481,9749.785,9945.471,10138.188,10327.579,10513.288,10694.956,10874.473,11051.591,11226.065,11397.645,11566.08,11733.479,11899.692,12064.566,12227.946,12389.674,12550.855,12711.376,12871.124,13029.979,13187.824,13344.907,13501.115,13656.338,13810.461,13963.367,14115.272,14266.068,14415.644,14563.885,14710.679,14856.468,15001.151,15144.625,15286.786,15427.527,15565.57,15700.774,15832.999,15962.104
ARE,AE,United Arab Emirates,26.91870968,47664.018,48300.015,48938.726,49579.891,50223.244,50868.507,51553.339,52278.944,53046.607,53857.702,54713.695,55606.19,56536.352,57505.408,58514.64,59565.396,60584.869,61570.607,62520.188,63431.234,64301.416,65087.96,65787.191,66395.769,66910.712,67329.421,67636.235,67829.215,67906.988,67868.765,67714.347,67445.352,67062.759,66568.126,65963.582,65251.81,64467.087,63611.954,62689.192,61701.809,60653.02,59569.647,58453.977,57308.354,56135.166,54936.839,53712.091,52463.652,51194.267,49906.694,48603.689,47287.509,45960.92,44626.653,43287.402,41945.81,40600.605,39269.148,37974.208,36715.059,35490.979,34308.064,33164.919,32060.195,30992.59,29960.847,28964.289,28001.689,27071.865,26173.674,25306.017,24468.033,23658.679,22876.949,22121.872,21392.514,20688.828,20009.862,19354.699,18722.458,18112.293,17523.426,16955.071,16406.472,15876.904,15365.668,14870.893,14392.05,13928.626,13480.124
ARG,AR,Argentina,17.33555556,5021.41,5195.854,5372.299,5550.531,5730.325,5911.443,6102.834,6305.109,6518.924,6744.979,6984.027,7235.675,7500.655,7779.751,8073.798,8383.687,8703.627,9033.854,9374.601,9726.103,10088.597,10452.452,10816.827,11180.848,11543.611,11904.181,12262.503,12617.679,12968.788,13314.898,13655.064,13992.101,14325.33,14654.058,14977.589,15295.22,15609.615,15920.272,16226.689,16528.359,16824.772,17117.505,17406.157,17690.324,17969.602,18243.587,18512.824,18776.952,19035.613,19288.449,19535.105,19774.838,20007.287,20232.095,20448.912,20657.398,20856.969,21047.295,21228.054,21398.937,21559.647,21714.169,21862.322,22003.93,22138.82,22266.827,22390.462,22509.614,22624.172,22734.03,22839.083,22939.226,23034.362,23124.391,23209.219,23288.755,23362.584,23430.618,23492.772,23548.966,23599.125,23641.76,23676.796,23704.166,23723.81,23735.674,23741.232,23740.447,23733.286,23719.723
ARM,AM,Armenia,8.3705,1204.321,1251.071,1300.281,1352.093,1406.658,1464.138,1527.159,1596.22,1671.875,1754.747,1845.532,1944.069,2051.08,2167.364,2293.808,2431.398,2577.776,2733.525,2899.268,3075.672,3263.446,3458.183,3659.757,3868.009,4082.738,4303.704,4530.736,4763.527,5001.726,5244.941,5492.735,5745.651,6003.306,6265.281,6531.118,6800.322,7075.642,7356.904,7643.912,7936.445,8234.262,8541.59,8858.635,9185.604,9522.698,9870.12,10229.964,10602.632,10988.537,11388.104,11801.765,12224.228,12655.331,13094.885,13542.679,13998.476,14462.573,14934.739,15414.716,15902.223,16396.952,16907.097,17433.087,17975.358,18534.357,19110.535,19704.433,20316.527,20947.303,21597.256,22266.888,22959.383,23675.508,24416.054,25181.838,25973.701,26793.704,27642.853,28522.188,29432.785,30375.758,31345.33,32342.025,33366.366,34418.871,35500.055,36614.9,37764.33,38949.288,40170.731
AUS,AU,Australia,16.58548387,27736.992,28226.663,28728.998,29244.318,29772.951,30315.233,30856.596,31396.587,31934.744,32470.594,33003.659,33556.95,34131.127,34726.883,35344.941,35986.055,36643.601,37317.992,38009.652,38719.018,39446.537,40172.785,40897.124,41618.899,42337.445,43052.084,43760.492,44461.889,45155.489,45840.498,46516.119,47171.781,47806.27,48418.39,49006.97,49570.865,50121.849,50659.26,51182.443,51690.748,52183.532,52675.299,53165.843,53654.957,54142.43,54628.046,55115.409,55604.399,56094.89,56586.754,57079.858,57570.07,58057.148,58540.844,59020.909,59497.091,59959.852,60408.717,60843.217,61262.889,61667.28,62055.572,62427.321,62782.093,63119.465,63439.026,63742.027,64028.105,64296.911,64548.105,64781.361,64999.216,65201.399,65387.649,65557.713,65711.351,65849.911,65973.184,66080.971,66173.084,66249.344,66309.584,66353.647,66381.388,66392.674,66387.383,66363.415,66320.675,66259.086,66178.587
AUT,AT,Austria,7.897741935,30908.66,31450.236,31992.159,32534.041,33075.479,33616.065,34177.496,34760.429,35365.548,35993.57,36645.242,37333.878,38060.999,38828.226,39637.291,40490.036,41381.702,42313.929,43288.446,44307.079,45371.751,46469.521,47601.43,48768.554,49972.003,51212.924,52485.225,53789.583,55126.681,56497.21,57901.87,59333.26,60791.49,62276.652,63788.815,65328.029,66908.561,68531.442,70197.724,71908.481,73664.806,75477.979,77349.886,79282.478,81277.775,83337.864,85476.906,87698.06,90004.628,92400.06,94887.963,97467.171,100141.22,102913.795,105788.732,108770.03,111852.284,115039.019,118333.883,121740.651,125263.234,128891.899,132629.632,136479.489,140444.595,144528.146,148739.192,153081.574,157559.242,162176.246,166936.746,171846.677,176910.565,182133.057,187518.922,193073.058,198805.122,204720.682,210825.464,217125.358,223626.416,230343.808,237284.733,244456.623,251867.142,259524.194,267424.515,275575.466,283984.602,292659.676
AZE,AZ,Azerbaijan,12.972,1430.769,1453.671,1478.764,1506.14,1535.905,1568.174,1600.614,1633.203,1665.919,1698.739,1731.64,1768.125,1808.385,1852.631,1901.099,1954.053,2006.973,2059.772,2112.359,2164.642,2216.527,2270.196,2325.712,2383.14,2442.549,2504.011,2567.813,2634.05,2702.818,2774.22,2848.36,2924.542,3002.816,3083.233,3165.845,3250.707,3338.463,3429.216,3523.074,3620.147,3720.549,3825.59,3935.494,4050.497,4170.85,4296.817,4428.659,4566.672,4711.164,4862.465,5020.921,5182.41,5346.883,5514.281,5684.54,5857.589,6030.373,6202.543,6373.74,6543.595,6711.731,6881.417,7052.536,7224.963,7398.57,7573.222,7750.08,7929.087,8110.183,8293.302,8478.375,8665.99,8856.11,9048.698,9243.711,9441.104,9639.428,9838.544,10038.303,10238.553,10439.136,10638.054,10835.034,11029.799,11222.072,11411.571,11601.915,11793.012,11984.765,12177.074
BDI,BI,Burundi,20.56258065,179.805,185.264,191.555,198.749,206.928,216.187,226.803,238.931,252.75,268.469,286.337,306.622,329.661,355.844,385.633,419.567,457.11,498.689,544.787,595.95,652.797,714.181,780.367,851.625,928.23,1010.458,1097.867,1190.551,1288.577,1391.984,1500.78,1614.734,1733.736,1857.635,1986.235,2119.291,2257.037,2399.234,2545.6,2695.805,2849.479,3007.116,3168.406,3332.999,3500.511,3670.519,3842.954,4017.38,4193.324,4370.288,4547.742,4725.293,4902.382,5078.424,5252.818,5424.945,5594.155,5759.805,5921.248,6077.836,6228.924,6374.521,6514.046,6646.927,6772.608,6890.554,7001.643,7105.454,7201.584,7289.655,7369.313,7441.544,7506.088,7562.708,7611.19,7651.348,7684.06,7709.205,7726.685,7736.421,7738.361,7732.412,7718.567,7696.845,7667.286,7629.958,7588.78,7543.8,7495.067,7442.642
