"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RENEWABLE","TOT","KTOE","A","1960",4437.656,
"AUS","RENEWABLE","TOT","KTOE","A","1961",4491.224,
"AUS","RENEWABLE","TOT","KTOE","A","1962",4407.786,
"AUS","RENEWABLE","TOT","KTOE","A","1963",4629.416,
"AUS","RENEWABLE","TOT","KTOE","A","1964",4498.041,
"AUS","RENEWABLE","TOT","KTOE","A","1965",4716.772,
"AUS","RENEWABLE","TOT","KTOE","A","1966",4446.007,
"AUS","RENEWABLE","TOT","KTOE","A","1967",4575.265,
"AUS","RENEWABLE","TOT","KTOE","A","1968",4472.991,
"AUS","RENEWABLE","TOT","KTOE","A","1969",4526.468,
"AUS","RENEWABLE","TOT","KTOE","A","1970",4304.523,
"AUS","RENEWABLE","TOT","KTOE","A","1971",4553.994,
"AUS","RENEWABLE","TOT","KTOE","A","1972",4623.503,
"AUS","RENEWABLE","TOT","KTOE","A","1973",4509.162,
"AUS","RENEWABLE","TOT","KTOE","A","1974",4816.567,
"AUS","RENEWABLE","TOT","KTOE","A","1975",4962.941,
"AUS","RENEWABLE","TOT","KTOE","A","1976",5015.979,
"AUS","RENEWABLE","TOT","KTOE","A","1977",4853.855,
"AUS","RENEWABLE","TOT","KTOE","A","1978",4882.875,
"AUS","RENEWABLE","TOT","KTOE","A","1979",4880.873,
"AUS","RENEWABLE","TOT","KTOE","A","1980",4745.682,
"AUS","RENEWABLE","TOT","KTOE","A","1981",5063.213,
"AUS","RENEWABLE","TOT","KTOE","A","1982",5173.465,
"AUS","RENEWABLE","TOT","KTOE","A","1983",5006.549,
"AUS","RENEWABLE","TOT","KTOE","A","1984",4912.525,
"AUS","RENEWABLE","TOT","KTOE","A","1985",5165.764,
"AUS","RENEWABLE","TOT","KTOE","A","1986",4729.345,
"AUS","RENEWABLE","TOT","KTOE","A","1987",4700.803,
"AUS","RENEWABLE","TOT","KTOE","A","1988",4809.803,
"AUS","RENEWABLE","TOT","KTOE","A","1989",4981.728,
"AUS","RENEWABLE","TOT","KTOE","A","1990",5074.181,
"AUS","RENEWABLE","TOT","KTOE","A","1991",5192.787,
"AUS","RENEWABLE","TOT","KTOE","A","1992",4728.035,
"AUS","RENEWABLE","TOT","KTOE","A","1993",5482.54,
"AUS","RENEWABLE","TOT","KTOE","A","1994",5382.158,
"AUS","RENEWABLE","TOT","KTOE","A","1995",5531.404,
"AUS","RENEWABLE","TOT","KTOE","A","1996",6109.33,
"AUS","RENEWABLE","TOT","KTOE","A","1997",6399.093,
"AUS","RENEWABLE","TOT","KTOE","A","1998",6184.614,
"AUS","RENEWABLE","TOT","KTOE","A","1999",6269.25,
"AUS","RENEWABLE","TOT","KTOE","A","2000",6353.578,
"AUS","RENEWABLE","TOT","KTOE","A","2001",6478.533,
"AUS","RENEWABLE","TOT","KTOE","A","2002",6755.817,
"AUS","RENEWABLE","TOT","KTOE","A","2003",6626.507,
"AUS","RENEWABLE","TOT","KTOE","A","2004",6529.99,
"AUS","RENEWABLE","TOT","KTOE","A","2005",6462.439,
"AUS","RENEWABLE","TOT","KTOE","A","2006",6652.609,
"AUS","RENEWABLE","TOT","KTOE","A","2007",6874.774,
"AUS","RENEWABLE","TOT","KTOE","A","2008",7056.564,
"AUS","RENEWABLE","TOT","KTOE","A","2009",5582.317,
"AUS","RENEWABLE","TOT","KTOE","A","2010",6677.371,
"AUS","RENEWABLE","TOT","KTOE","A","2011",6922.845,
"AUS","RENEWABLE","TOT","KTOE","A","2012",6896.422,
"AUS","RENEWABLE","TOT","KTOE","A","2013",7663.548,
"AUS","RENEWABLE","TOT","KTOE","A","2014",7924.376,
"AUS","RENEWABLE","TOT","KTOE","A","2015",8005.364,
"AUS","RENEWABLE","TOT","KTOE","A","2016",8287.938,
"AUS","RENEWABLE","TOT","KTOE","A","2017",8907.443,
"AUT","RENEWABLE","TOT","KTOE","A","1960",1750.2,
"AUT","RENEWABLE","TOT","KTOE","A","1961",1642.19,
"AUT","RENEWABLE","TOT","KTOE","A","1962",1685.545,
"AUT","RENEWABLE","TOT","KTOE","A","1963",1733.295,
"AUT","RENEWABLE","TOT","KTOE","A","1964",1695.046,
"AUT","RENEWABLE","TOT","KTOE","A","1965",1951.452,
"AUT","RENEWABLE","TOT","KTOE","A","1966",2154.762,
"AUT","RENEWABLE","TOT","KTOE","A","1967",2139.099,
"AUT","RENEWABLE","TOT","KTOE","A","1968",2132.12,
"AUT","RENEWABLE","TOT","KTOE","A","1969",2000.478,
"AUT","RENEWABLE","TOT","KTOE","A","1970",2453.115,
"AUT","RENEWABLE","TOT","KTOE","A","1971",2067.503,
"AUT","RENEWABLE","TOT","KTOE","A","1972",2087.99,
"AUT","RENEWABLE","TOT","KTOE","A","1973",2328.915,
"AUT","RENEWABLE","TOT","KTOE","A","1974",2608.728,
"AUT","RENEWABLE","TOT","KTOE","A","1975",2724.606,
"AUT","RENEWABLE","TOT","KTOE","A","1976",2443.928,
"AUT","RENEWABLE","TOT","KTOE","A","1977",2838.612,
"AUT","RENEWABLE","TOT","KTOE","A","1978",2948.218,
"AUT","RENEWABLE","TOT","KTOE","A","1979",3408.388,
"AUT","RENEWABLE","TOT","KTOE","A","1980",3607.218,
"AUT","RENEWABLE","TOT","KTOE","A","1981",3878.6,
"AUT","RENEWABLE","TOT","KTOE","A","1982",4031.327,
"AUT","RENEWABLE","TOT","KTOE","A","1983",4026.287,
"AUT","RENEWABLE","TOT","KTOE","A","1984",4111.073,
"AUT","RENEWABLE","TOT","KTOE","A","1985",4443.522,
"AUT","RENEWABLE","TOT","KTOE","A","1986",4718.787,
"AUT","RENEWABLE","TOT","KTOE","A","1987",5277.983,
"AUT","RENEWABLE","TOT","KTOE","A","1988",6233.511,
"AUT","RENEWABLE","TOT","KTOE","A","1989",5719.814,
"AUT","RENEWABLE","TOT","KTOE","A","1990",5037.704,
"AUT","RENEWABLE","TOT","KTOE","A","1991",5247.697,
"AUT","RENEWABLE","TOT","KTOE","A","1992",5489.544,
"AUT","RENEWABLE","TOT","KTOE","A","1993",5780.459,
"AUT","RENEWABLE","TOT","KTOE","A","1994",5607.47,
"AUT","RENEWABLE","TOT","KTOE","A","1995",5890.733,
"AUT","RENEWABLE","TOT","KTOE","A","1996",5839.319,
"AUT","RENEWABLE","TOT","KTOE","A","1997",5902.818,
"AUT","RENEWABLE","TOT","KTOE","A","1998",5944.674,
"AUT","RENEWABLE","TOT","KTOE","A","1999",6644.62,
"AUT","RENEWABLE","TOT","KTOE","A","2000",6574.008,
"AUT","RENEWABLE","TOT","KTOE","A","2001",6659.505,
"AUT","RENEWABLE","TOT","KTOE","A","2002",6481.977,
"AUT","RENEWABLE","TOT","KTOE","A","2003",6016.552,
"AUT","RENEWABLE","TOT","KTOE","A","2004",6418.325,
"AUT","RENEWABLE","TOT","KTOE","A","2005",6948.173,
"AUT","RENEWABLE","TOT","KTOE","A","2006",7362.372,
"AUT","RENEWABLE","TOT","KTOE","A","2007",7854.861,
"AUT","RENEWABLE","TOT","KTOE","A","2008",8212.478,
"AUT","RENEWABLE","TOT","KTOE","A","2009",8716.515,
"AUT","RENEWABLE","TOT","KTOE","A","2010",9016.037,
"AUT","RENEWABLE","TOT","KTOE","A","2011",8669.651,
"AUT","RENEWABLE","TOT","KTOE","A","2012",9818.319,
"AUT","RENEWABLE","TOT","KTOE","A","2013",10092.466,
"AUT","RENEWABLE","TOT","KTOE","A","2014",9741.687,
"AUT","RENEWABLE","TOT","KTOE","A","2015",9742.269,
"AUT","RENEWABLE","TOT","KTOE","A","2016",10050.168,
"AUT","RENEWABLE","TOT","KTOE","A","2017",10035.636,
"BEL","RENEWABLE","TOT","KTOE","A","1960",14.789,
"BEL","RENEWABLE","TOT","KTOE","A","1961",16.251,
"BEL","RENEWABLE","TOT","KTOE","A","1962",14.015,
"BEL","RENEWABLE","TOT","KTOE","A","1963",12.382,
"BEL","RENEWABLE","TOT","KTOE","A","1964",9.888,
"BEL","RENEWABLE","TOT","KTOE","A","1965",23.388,
"BEL","RENEWABLE","TOT","KTOE","A","1966",25.709,
"BEL","RENEWABLE","TOT","KTOE","A","1967",20.464,
"BEL","RENEWABLE","TOT","KTOE","A","1968",20.98,
"BEL","RENEWABLE","TOT","KTOE","A","1969",19.776,
"BEL","RENEWABLE","TOT","KTOE","A","1970",21.152,
"BEL","RENEWABLE","TOT","KTOE","A","1971",11.522,
"BEL","RENEWABLE","TOT","KTOE","A","1972",15.477,
"BEL","RENEWABLE","TOT","KTOE","A","1973",23.325,
"BEL","RENEWABLE","TOT","KTOE","A","1974",37.164,
"BEL","RENEWABLE","TOT","KTOE","A","1975",34.843,
"BEL","RENEWABLE","TOT","KTOE","A","1976",27.381,
"BEL","RENEWABLE","TOT","KTOE","A","1977",62.373,
"BEL","RENEWABLE","TOT","KTOE","A","1978",86.195,
"BEL","RENEWABLE","TOT","KTOE","A","1979",92.705,
"BEL","RENEWABLE","TOT","KTOE","A","1980",81.299,
"BEL","RENEWABLE","TOT","KTOE","A","1981",88.769,
"BEL","RENEWABLE","TOT","KTOE","A","1982",37.135,
"BEL","RENEWABLE","TOT","KTOE","A","1983",39.926,
"BEL","RENEWABLE","TOT","KTOE","A","1984",42.84,
"BEL","RENEWABLE","TOT","KTOE","A","1985",50.235,
"BEL","RENEWABLE","TOT","KTOE","A","1986",76.283,
"BEL","RENEWABLE","TOT","KTOE","A","1987",92.171,
"BEL","RENEWABLE","TOT","KTOE","A","1988",98.122,
"BEL","RENEWABLE","TOT","KTOE","A","1989",287.742,
"BEL","RENEWABLE","TOT","KTOE","A","1990",481.175,
"BEL","RENEWABLE","TOT","KTOE","A","1991",486.844,
"BEL","RENEWABLE","TOT","KTOE","A","1992",482.732,
"BEL","RENEWABLE","TOT","KTOE","A","1993",408.646,
"BEL","RENEWABLE","TOT","KTOE","A","1994",405.371,
"BEL","RENEWABLE","TOT","KTOE","A","1995",527.998,
"BEL","RENEWABLE","TOT","KTOE","A","1996",527.114,
"BEL","RENEWABLE","TOT","KTOE","A","1997",518.888,
"BEL","RENEWABLE","TOT","KTOE","A","1998",570.102,
"BEL","RENEWABLE","TOT","KTOE","A","1999",606.249,
"BEL","RENEWABLE","TOT","KTOE","A","2000",638.021,
"BEL","RENEWABLE","TOT","KTOE","A","2001",703.707,
"BEL","RENEWABLE","TOT","KTOE","A","2002",711.597,
"BEL","RENEWABLE","TOT","KTOE","A","2003",867.298,
"BEL","RENEWABLE","TOT","KTOE","A","2004",965.845,
"BEL","RENEWABLE","TOT","KTOE","A","2005",1156.291,
"BEL","RENEWABLE","TOT","KTOE","A","2006",1364.864,
"BEL","RENEWABLE","TOT","KTOE","A","2007",1590.919,
"BEL","RENEWABLE","TOT","KTOE","A","2008",1910.459,
"BEL","RENEWABLE","TOT","KTOE","A","2009",2268.206,
"BEL","RENEWABLE","TOT","KTOE","A","2010",2833.011,
"BEL","RENEWABLE","TOT","KTOE","A","2011",3119.803,
"BEL","RENEWABLE","TOT","KTOE","A","2012",3364.653,
"BEL","RENEWABLE","TOT","KTOE","A","2013",3505.048,
"BEL","RENEWABLE","TOT","KTOE","A","2014",3398.164,
"BEL","RENEWABLE","TOT","KTOE","A","2015",3664.295,
"BEL","RENEWABLE","TOT","KTOE","A","2016",3915.997,
"BEL","RENEWABLE","TOT","KTOE","A","2017",4129.034,
"CAN","RENEWABLE","TOT","KTOE","A","1960",13239.567,
"CAN","RENEWABLE","TOT","KTOE","A","1961",13101.629,
"CAN","RENEWABLE","TOT","KTOE","A","1962",13095.505,
"CAN","RENEWABLE","TOT","KTOE","A","1963",13083.83,
"CAN","RENEWABLE","TOT","KTOE","A","1964",13865.128,
"CAN","RENEWABLE","TOT","KTOE","A","1965",13955.88,
"CAN","RENEWABLE","TOT","KTOE","A","1966",15207.676,
"CAN","RENEWABLE","TOT","KTOE","A","1967",16053.2,
"CAN","RENEWABLE","TOT","KTOE","A","1968",17066.28,
"CAN","RENEWABLE","TOT","KTOE","A","1969",18875.342,
"CAN","RENEWABLE","TOT","KTOE","A","1970",21115.773,
"CAN","RENEWABLE","TOT","KTOE","A","1971",21594.287,
"CAN","RENEWABLE","TOT","KTOE","A","1972",23225.982,
"CAN","RENEWABLE","TOT","KTOE","A","1973",24552.866,
"CAN","RENEWABLE","TOT","KTOE","A","1974",25843.154,
"CAN","RENEWABLE","TOT","KTOE","A","1975",23631.819,
"CAN","RENEWABLE","TOT","KTOE","A","1976",24616.232,
"CAN","RENEWABLE","TOT","KTOE","A","1977",25326.34,
"CAN","RENEWABLE","TOT","KTOE","A","1978",27153.277,
"CAN","RENEWABLE","TOT","KTOE","A","1979",28101.978,
"CAN","RENEWABLE","TOT","KTOE","A","1980",29243.379,
"CAN","RENEWABLE","TOT","KTOE","A","1981",30160.457,
"CAN","RENEWABLE","TOT","KTOE","A","1982",29373.889,
"CAN","RENEWABLE","TOT","KTOE","A","1983",30820.345,
"CAN","RENEWABLE","TOT","KTOE","A","1984",32576.231,
"CAN","RENEWABLE","TOT","KTOE","A","1985",34587.197,
"CAN","RENEWABLE","TOT","KTOE","A","1986",35574.466,
"CAN","RENEWABLE","TOT","KTOE","A","1987",36145.48,
"CAN","RENEWABLE","TOT","KTOE","A","1988",35364.603,
"CAN","RENEWABLE","TOT","KTOE","A","1989",33663.051,
"CAN","RENEWABLE","TOT","KTOE","A","1990",36327.19,
"CAN","RENEWABLE","TOT","KTOE","A","1991",37303.541,
"CAN","RENEWABLE","TOT","KTOE","A","1992",38080.041,
"CAN","RENEWABLE","TOT","KTOE","A","1993",38745.141,
"CAN","RENEWABLE","TOT","KTOE","A","1994",40750.487,
"CAN","RENEWABLE","TOT","KTOE","A","1995",41661.898,
"CAN","RENEWABLE","TOT","KTOE","A","1996",42689.673,
"CAN","RENEWABLE","TOT","KTOE","A","1997",42317.532,
"CAN","RENEWABLE","TOT","KTOE","A","1998",41410.166,
"CAN","RENEWABLE","TOT","KTOE","A","1999",43270.704,
"CAN","RENEWABLE","TOT","KTOE","A","2000",44581.924,
"CAN","RENEWABLE","TOT","KTOE","A","2001",41478.112,
"CAN","RENEWABLE","TOT","KTOE","A","2002",44148.276,
"CAN","RENEWABLE","TOT","KTOE","A","2003",42822.642,
"CAN","RENEWABLE","TOT","KTOE","A","2004",44200.058,
"CAN","RENEWABLE","TOT","KTOE","A","2005",45552.995,
"CAN","RENEWABLE","TOT","KTOE","A","2006",44266.739,
"CAN","RENEWABLE","TOT","KTOE","A","2007",45919.959,
"CAN","RENEWABLE","TOT","KTOE","A","2008",45966.747,
